Year,RCP30,RCP45,RCP60,RCP85
1765,277.01,277.01,277.01,277.01
1766,277.84,277.84,277.84,277.84
1767,278.69,278.69,278.69,278.69
1768,278.75,278.75,278.75,278.75
1769,278.8,278.8,278.8,278.8
1770,278.85,278.85,278.85,278.85
1771,278.88,278.88,278.88,278.88
1772,278.93,278.93,278.93,278.93
1773,278.99,278.99,278.99,278.99
1774,279.07,279.07,279.07,279.07
1775,279.15,279.15,279.15,279.15
1776,279.24,279.24,279.24,279.24
1777,279.34,279.34,279.34,279.34
1778,279.45,279.45,279.45,279.45
1779,279.55,279.55,279.55,279.55
1780,279.65,279.65,279.65,279.65
1781,279.72,279.72,279.72,279.72
1782,279.78,279.78,279.78,279.78
1783,279.87,279.87,279.87,279.87
1784,279.96,279.96,279.96,279.96
1785,280.06,280.06,280.06,280.06
1786,280.17,280.17,280.17,280.17
1787,280.29,280.29,280.29,280.29
1788,280.42,280.42,280.42,280.42
1789,280.55,280.55,280.55,280.55
1790,280.68,280.68,280.68,280.68
1791,280.78,280.78,280.78,280.78
1792,280.88,280.88,280.88,280.88
1793,281,281,281,281
1794,281.13,281.13,281.13,281.13
1795,281.25,281.25,281.25,281.25
1796,281.38,281.38,281.38,281.38
1797,281.48,281.48,281.48,281.48
1798,281.58,281.58,281.58,281.58
1799,281.7,281.7,281.7,281.7
1800,281.8,281.8,281.8,281.8
1801,281.89,281.89,281.89,281.89
1802,281.96,281.96,281.96,281.96
1803,282.06,282.06,282.06,282.06
1804,282.2,282.2,282.2,282.2
1805,282.32,282.32,282.32,282.32
1806,282.42,282.42,282.42,282.42
1807,282.51,282.51,282.51,282.51
1808,282.63,282.63,282.63,282.63
1809,282.74,282.74,282.74,282.74
1810,282.84,282.84,282.84,282.84
1811,282.9,282.9,282.9,282.9
1812,282.96,282.96,282.96,282.96
1813,283.04,283.04,283.04,283.04
1814,283.11,283.11,283.11,283.11
1815,283.17,283.17,283.17,283.17
1816,283.21,283.21,283.21,283.21
1817,283.26,283.26,283.26,283.26
1818,283.33,283.33,283.33,283.33
1819,283.41,283.41,283.41,283.41
1820,283.5,283.5,283.5,283.5
1821,283.58,283.58,283.58,283.58
1822,283.63,283.63,283.63,283.63
1823,283.65,283.65,283.65,283.65
1824,283.71,283.71,283.71,283.71
1825,283.76,283.76,283.76,283.76
1826,283.82,283.82,283.82,283.82
1827,283.87,283.87,283.87,283.87
1828,283.93,283.93,283.93,283.93
1829,284.01,284.01,284.01,284.01
1830,283.96,283.96,283.96,283.96
1831,283.9,283.9,283.9,283.9
1832,283.88,283.88,283.88,283.88
1833,283.77,283.77,283.77,283.77
1834,283.66,283.66,283.66,283.66
