ARL,67.5,90,0,360
ARO,67.5,90,0,360
ANL,-90,-55,0,360
AOP,-90,-50,120,250
AOI,-90,-50,250,120
ALA,57.5,67.5,190,255
CGI,50,67.5,255,350
WNA,30,57.5,225,255
CNA,30,50,255,275
ENA,30,50,275,310
CAM,10,30,245,290
AMZ,-20,10,277.5,325
SSA,-55,-20,285,320
NEU,47.5,67.5,350,40
SEU,30,47.5,350,40
SAH,17.5,30,340,40
WAF,-10,17.5,340,25
EAF,-10,17.5,25,55
SAF,-35,10,10,50
NAS,50,67.5,40,190
CAS,30,50,40,75
TIB,30,50,75,100
EAS,20,50,100,150
SAS,5,30,65,100
SEA,-10,20,100,150
NAU,-30,-10,110,155
SAU,-47.5,-30,110,180
MED,30,50,265,295
CAR,5,50,265,295
IND,-35,30,25,100
SPW,-50,-5,145,220
SPE,-50,-5,220,295
EPW,-5,5,137.5,220
EPE,-5,5,220,290
NPW,5,30,120,195
NPE,5,30,195,265
NAT,5,50,295,2.5
SAT,-50,-5,295,25
EAT,-5,5,295,25
SIO,-50,-35,25,145
NNE,30,67.5,195,255
NNW,30,67.5,100,195
WPE,-5,5,100,137.5
WPS,-35,-5,100,145
HBO,50,67.5,265,290
WPN,5,30,100,120
NNA,50,67.5,290,30
