rho,phi,beta0,beta1,beta2
0.98758,0.16191,335.13,5.3543,4.3358
0.98954,0.31032,374.94,10.094,4.2871
0.98758,0.16191,295.49,4.2379,2.8621
0.98954,0.31032,307.86,2.0357,2.7202
0.98954,0.31032,319.73,3.467,2.8963
0.98758,0.16191,338.41,4.5247,4.2687
0.98758,0.16191,325.11,3.1872,3.9558
0.98758,0.16191,324.41,2.3206,3.1697
0.98758,0.16191,316.57,0.1997,3.6751
0.98758,0.16191,319.42,1.1359,3.4694
0.98758,0.16191,318.11,-0.2778,3.3089
0.98758,0.16191,332.81,1.6262,2.8612
0.98758,0.16191,322.43,1.3042,2.8583
0.98758,0.16191,317.98,2.2663,2.3787
0.98758,0.16191,326,1.7297,2.9734
0.98758,0.16191,327.43,0.14051,3.7073
0.98758,0.16191,330.99,1.5177,2.6101
0.98758,0.16191,327.6,1.3649,2.5399
0.98758,0.16191,329.6,1.6642,2.6739
0.98758,0.16191,328.21,2.679,4.5903
0.98758,0.16191,324.45,1.1709,3.5248
0.98758,0.16191,310.45,0.18981,4.3901
0.98758,0.16191,320.46,1.566,3.3082
0.98758,0.16191,327.99,1.3294,2.8257
0.98758,0.16191,327.91,1.6493,2.1688
0.98758,0.16191,328.12,1.2299,2.7236
0.98758,0.16191,321.32,1.268,2.7307
0.98954,0.31032,317.76,0.69932,2.2859
0.98954,0.31032,319.12,0.56896,2.0627
0.98954,0.31032,325.24,1.4162,1.9314
0.98954,0.31032,323.16,1.6678,1.9122
0.98954,0.31032,317.71,1.5508,1.5758
0.98954,0.31032,323.23,0.72015,2.0868
0.98954,0.31032,325.52,1.4595,1.9321
0.98954,0.31032,324.84,1.3915,1.8156
0.98954,0.31032,321.95,1.1078,1.8649
0.98954,0.31032,320.77,1.8791,1.4193
0.98954,0.31032,323.09,2.2337,1.6754
0.98954,0.31032,322.46,0.78247,2.0342
0.98954,0.31032,321.46,2.7308,1.8142
0.98954,0.31032,320.63,1.9861,2.3424
0.98954,0.31032,322.37,2.0629,2.7697
0.98954,0.31032,328.97,1.5993,1.9374
0.98954,0.31032,327.81,1.9972,1.7362
0.98954,0.31032,336.73,4.1823,4.7701
0.98954,0.31032,329.81,2.2427,1.5439
0.98954,0.31032,315.51,4.0889,0.53892
